Titulo,Artista,Album,Ano,Letra
Só Pra Vadiar,Charlie Brown Jr,Camisa 10 Joga Bola Até na Chuva,2009,"Escute o que diz a sua alma Leve a vida com um pouco mais de calma Deixe que o instinto mais puro te mostre o caminho Quem tem fé sabe que não está sozinho Que não está sozinho Que não está sozinho Ponha fé no seu caminho Escute o que diz a sua alma Leve a vida com um pouco mais de calma Deixe que o instinto mais puro te mostre o caminho Quem tem fé sabe que não está sozinho Que não está sozinho Você não está sozinho Ponha fé no seu caminho Quando seus olhos refletem o pôr-do-sol É quando você para pra ver e apreciar o universo Quando seus olhos refletem o pôr-do-sol É quando você para pra refletir sobre o que é certo O melhor da vida É a sensação de paz e amor O melhor da vida Um dia só pra vadiar O melhor da vida É a sensação de paz e amor O melhor da vida Um dia só pra vadiar Só pra vadiar x4 Simplicidade traz conceito, pura coletividade Eu represento a minha cidade com responsa e orgulho sim Heroi eu nunca fui, mas eu nunca vacilei Se nunca vacilei não é agora que vai ser Cansado de esperar, eu fui e fiz acontecer De vagabundo a gerador de empregos, pode crer Pode crer que é assim que tem que ser Pra nossa vida melhorar o povo tem que parar de sofrer Obstinação e o pensamento forte É essa a base de um guerreiro de estilo nobre Eu digo paz e evolução para o meu povo pobre O pensamento coletivo que aqui explode Filho de guerreiro, a família vem primeiro A rua me educou e me formou um verdadeiro Eu vou que vou, vou com fé, vou com determinação Sangue nos olhos no caminho da evolução O melhor da vida É a sensação de paz e amor O melhor da vida Um dia só pra vadiar O melhor da vida É a sensação de paz e amor O melhor da vida Um dia só pra vadiar Só pra vadiar x4 Quanta coisa boa você aprendeu Você fez sua parte e tudo aconteceu"
Somos Extremes No Esporte E Na Musica,Charlie Brown Jr,Nadando com os Tubarões,2000,"Somos extremes no esporte e na musica - Charlie Brown Jr Descer de corrimão não é pra qualquer um não, skate não é crime, manobra de ação esporte é um mercado aí você revolucionário quem anda de skate não é embalo quem anda de bike não é otário quem joga capoeira aê não é picareta sei muito bem que é difícil praticar o seu esporte sem nenhum incentivo com técnica, muito esforço e raciocínio. De back, de front, sem pagar, de style, t em que ser de alma tem que ser “for fun” sou rap da periferia que domina com ação e atitude o Dom da palavra somos todos “streeteiros” vagabundo é mal mas, minha cara e meu estilo é bem overall... somos todos “streeteiros” vagabundo é mal mas, minha cara e meu estilo é bem o overall... é bem o overall... é bem o overall... Mikima, De menos crime, esporte e ação é bem o overall... Uma cigarra se encantou na minha mão Anunciando a chegada do verão Verão aqui é legal Brasil, bunda, carnaval mas, Na verdade todo mundo quer ver sangue Ver sangue é que é legal Todo mundo pára para ver o caos O batuque e o massacre O batuque e o crack O batuque e a bola (4x) O pobre sempre é a bola... A bola da vez vejam vocês se vocês querem me ouvir eu falo um monte pra vocês alguns tem demais alguns tem de menos alguns tem demais alguns tem de menos Todo skatista na pista, mista racista não cola nó na pista Há! (4x) Eu sou de Santos, sou Charlie Brown molecada só de bomba no canal somos todos “streeteiros” vagabundo é mal mas, minha cara e meu estilo é bem o overal... somos todos “streeteiros” vagabundo é mal mas, minha cara e meu estilo é bem o overal... Iti, ni, san, chi para evolução concidência sou das ruas e sangue bom ando de skate, curto um bom som C O N T L E M D hip-hop skate music idéia certa e na seqüência mais uma coisa para vocês Controlamente solta a bronca outra vez sem dó sem perdão chega mais chega mais curta esse som e aí comunidade Zona Leste Faísca é revolução não estou pra brincadeira doa quem doer rajada na cabeça E quá, quá... O que que há velhinho ?porque está parado aí no seu cantinho? E quá, quá... O que que há velhinho? porque está parado aí no seu cantinho?... Eu daqui de dentro eu vejo rapaziada lá fora tá mandando vê mais acredito então, no meu bom proceder acho descer pelo cannion e uma manobra apavora, nessa hora muitos temem e é só pavor frio na barriga mano frio na barriga mano não tem como segure sua onda use o capacete cuidado com a mão no “grabber” ou no manete um Nollie para cá, um Ollie para cá mano tem coragem então caí no meio, a borda do copping é mil grau manobras de nose é fundamental somos todos “streeteiros” vagabundo é mal mas, minha cara e meu estilo é bem o overall... Mikinba, De menos crime, controla a mente, Charlie Brown..."
Somos Poucos Mas Somos Loucos,Charlie Brown Jr,Bocas Ordinárias,2002,"Charlie Brown! Pra mim uma rima louca é tipo pá aprendizado Que muda todo o quadro e deixa os mano ligado Que a vida cobra muito sério Você não vai fugir, Não pode se esconder e não deve se iludir Toca na ferida tipo rap nacional Como fez o Mano Brown, revolução mental O barato vai batendo no stéreo do meu carro Quando tá rolando rap, eu só escuto, eu não falo Eu sou um cara branco, eu admiro a negritude Nikimba, Sabotagem, Tarobinha, Rapin'n Hood O que vale é a atitude, atitude é o que não falta Aê... sujô, são eles! Não é escolta Hoje eu só procuro a minha paz Hoje eu só procuro a minha paz O porta-voz tem que te informar O porta-voz tem que te acrescentar Se não vacilou, vacilou, vacilou, vacilou Porque qualquer laia, não dá não Me diga no raga muffin vamos fala a verdade Me diga no raga muffin vamos então fala a verdade Chorão e Champignon mas que responsabilidade Pelado na batera e Marcão na guita Deixa nego na poeira Deixa nego na saudade, na saudade Autoridade vem, invade sem critério nenhum Som na sirene, cheiro da morte, Derrubaram mais um Na frente do filho eles quebraram o pai O Zé povinho fardado, vem, entra, mata e sai Sem ter julgado Corrompido, alienado revoltado, fracassado Vai pintando esse quadro O quadro do filme da sua vida O quadro de vidas e vidas da maioria esquecida Decorrente do descaso e da corrupção Moleque cresceu, não tinha emprego, então virou ladrão Menor bolado por ai tem de montão Morre um, nasce um monte com a maior disposição Sua própria vida lhe ensinou A caminhar com as próprias pernas Resta agora você se livrar do mal Que te corrói, te destrói Hoje eu só procuro a minha paz Hoje eu só procuro a minha paz O porta-voz tem que te informar O porta-voz tem que te acrescentar Se não vacilou, vacilou, vacilou, vacilou Porque qualquer laia, não dá não Me diga no raga muffin vamos fala a verdade Me diga no raga muffin vamos então fala a verdade Chorão e Champignon mas que responsabilidade Pelado na batera e Marcão na guita Deixa nego na poeira Deixa nego na saudade, na saudade Os exterminadores do futuro somos quase todos nós, Quase todos nós O motivo da glória, muitas vezes é o motivo da guerra Porque o gosto da vitória é saber lidar com a espera Qual será a solução, se já não se sabe nem qual é o problema? Qual é que é teu problema, Qual é que é teu problema mané? Qual é que é teu problema, Qual é que é teu problema mané? Quem tem boca fala o que quer, mas não pode ser mané... Já é!"
Sou Quem Eu Sou (o Que é Seu Também é Meu E O Que é Meu Não é Nosso),Charlie Brown Jr,Bocas Ordinárias,2002,"Te vi de tarde e não consegui Chegar em você depois de tudo que eu vi Estou bem melhor por ter feito o que eu fiz Sim, foi o que eu quis fazer Corri atrás pra ver tudo o que eu vi Estou bem melhor por ter feito o que eu fiz E da vitória o gosto eu senti Sim, foi o que eu quis fazer Mas se você ficou pra trás Não tenho culpa eu batalhei Minha vida mudou Mas o fato de eu ter mudado Minha vida não mudou quem eu sou Se o que mais me satisfaz É ser quem eu sou Se você ficou pra trás Eu sou quem eu sou E se o ditado é pra ver te seguir Mas se você prefere se iludir E os seus erros nunca assumir Sim, faça o que quer fazer Mas se o disfarce é o caminho a seguir E se esse teu orgulho um dia te trair Mas se você prefere não me ouvir Sim, faça o que quer fazer Mas se você ficou pra trás Não tenho culpa eu batalhei Minha vida mudou Mas o fato de eu ter mudado Minha vida não mudou quem eu sou Se o que mais me satisfaz É ser como eu sou Se você ficou pra trás Eu sou quem eu sou  por @CaSouza__"
T.F.D.P.,Charlie Brown Jr,100% Charlie Brown Jr. - Abalando a Sua Fábrica,2001,"Vaidade sua, o mundo da lua Showbizz agora é uma gangue de rua Vaidade sua, o mundo da lua Showbizz agora é uma gangue de rua Quando o cara é mané, ela faz o que quer Se liga, meu irmão, essa mulher tá te arruinando O que ela agüenta sorrindo, você não agüenta nem gritando O cheiro da raposa deixou trêmula a esposa do urubu malandro O jogo vira, eu sei o que eu tô falando A força, a força, a força, a inteligência é minha força E a vontade de vencer é mais forte em mim agora É mais forte em mim agora (3x) É tudo filho da puta (4x) No meio disso tudo, eu não te iludo e não me iludo Há pouco tempo atrás, eu era um pobre vagabundo Andava pela rua sem nenhum trocado Ia a pé pra toda lado, maltrapilho e maltratado Quem vai abrir pra mim as portas da Babilônia? Mas quem vai abrir pra mim as portas da Babilônia? Um governo falido não ajuda ninguém Hoje eles me fodem, amanhã vou foder eles também Vão te foder também Vaidade sua, o mundo de lua Showbizz agora é uma gang de rua É tudo filha da puta..."
Talvez A Metade do Caminho,Charlie Brown Jr,Nadando com os Tubarões,2000,"Eu queria ter voltado no tempo Não deixar faltar O que te faz mais falta Hoje eu tenho tudo que eu podia querer Mas dinheiro não é tudo, tenho muito a fazer Muito a fazer Se você quer rodar Eu vou guiar Vamos fazer o melhor que há Se você quer rodar Eu vou guiar Coisa no mundo melhor não há O melhor da vida é aprender bem mais do que já se sabe... Tento me lembrar de um sonho Que tive com você Dos meus braços você se foi Nos seus braços eu quero acordar E das coisas que você não fez Porque não quis me incentivar a dar a volta Mas verdade é que a distância entre nós me fez tanta falta! Se você quer rodar Eu vou guiar Vamos fazer o melhor que há Se você quer rodar Eu vou guiar Coisa no mundo melhor não há Se você quer rodar Eu vou guiar Vamos fazer o melhor que há O dom que Deus te deu entrou pra história do tempo... Charlie brown jr , ano 2000 , disco 3 Vai com Deus meu pai, vai .... Se você quer rodar Eu vou guiar Vamos fazer o melhor que há Se você quer rodar Eu vou guiar Coisa no mundo melhor não há! O dom que deus te deu entrou pra história do tempo..."
Tamo Aí Na Atividade,Charlie Brown Jr,Tamo Aí na Atividade,2004,"Eles querem que você se sinta mal, pois assim eles se sentem bem Eu nasci pobre ,mas não nasci otário Eu é que não caio no conto do vigário Tenho fé em Deus pra resolver qualquer parada Chega com respeito na minha quebrada Eu não vim pra me explicar Eu vim pra confundir Eu não vim pra me explicar Vem cá seu cú-de-burro Eu vô te dar um esculacho Sua atitude é de playboy Porque sua vida é muito fácil Vencer na vida, no mundão é pra quem tem coragem Um dia eu levo ela pra ver o por-do-sol da laje Tâmo aí na atividade Tâmo aí na atividade Tâmo aí na atividade Me basta que venha do surf Me basta viver do skate Me basta que venha do coração Me basta viver da mente Me basta que venha do surf Me basta viver do skate Me basta que venha do coração Me basta viver da mente Eles são gente Mas, não são gente como a gente Meu estilo de vida liberta minha mente Completamente louco mas um louco consciente Tâmo aí na atividade Tâmo aí na atividade Tâmo aí na atividade Agora sei o quanto é precioso nosso tempo A gente tem que dar valor certas coisas não tem preço O fato é que a gente tem que se preservar Viver intensamente com a cabeça no lugar Não, eu não me sinto mal Sobrevivo a todo lixo, todo odio com amor Eu sou o valor das coisas simples.. Eu dou valor pra coisas simples, eu Não, eu não me sinto mal Quero mais que eles se queimem na fogueira das vaidades Eu dou valor pra coisas simples... Eu sou o valor das coisas simples, eu Mas, me diz então o que da vida posso ter Como o mundo deve ser com as balizas do nosso sistema Me diz então o que da vida posso ter Eu tenho fé em Deus pra resolver qualquer problema Eu nasci pobre mas não nasci otário Eu é que não caio no conto do vigário Tenho fé em Deus pra resolver qualquer parada Chega com respeito na minha quebrada Tâmo aí na atividade Tâmo aí na atividade Tâmo aí na atividade Me basta que venha do surf Me basta viver do skate Me basta que venha do coração Me basta viver da mente Me basta que venha do surf Me basta viver do skate Me basta que venha do coração Me basta viver da mente Eles são gente Mas, não são gente como a gente Meu estilo de vida liberta minha mente Eu sou completamente louco mas um louco consciente"
Tarja Preta,Charlie Brown Jr,Bocas Ordinárias,2002,"Todo medicamento deve ser mantido fora do alcançe das crianças Venda somente sob prescrição médica No caso do medicamento ter sido ingerido em doses elevadas O tratamento deve ser imediatamente suspenso Somos poucos mas somos loucos Ninguém segura o visionario, o bicho solto Um ser humano nunca é igual ao outro Mas um guerreiro é que salva o outro Um vai e vem, um entra e sai, sobe outro desce Num perfeito entendimento que provoca incitamento Em ritmo frenético de bombeamento O movimento é o que te faz evoluir e não cair esquecimento É que te faz evoluir e não cair no esquecimento  Eu já fui um ser inutil e bem desagradável Mas eu fiz da minha vida uma história notável Seu porra do caralho eu tô falando com você Porque um louco quando quer faz a terra tremer Eu sinto que o mundo e as pessoas não confiam em mim Eles fazer cara feia quando olham pra mim Metabólicos da dipirona passam para o leite materno Lesões multiplas, infecções respiratórioas crônicas Circulação debilitada asssociada ao impacto Afim de previnir disturbios em pessoas idosas e sensíveis Charlie Brown não deve ser consumido por pessoas simpáticas"
Te Levar,Charlie Brown Jr,Música Popular Caiçara - Ao Vivo,2012,"Tive pensando em me mudar Sem te deixar pra trás, yeah! Resolvi pensar em nós, yeah! Vou te levar daqui Vou te levar, yeah! Te levar daqui, yeah! Vou te levar, yeah! Te levar daqui Aquele tempo ficou pra trás Eu nunca fui feliz ali Resolvi pensar em nós, yeah! Vou te levar daqui Vou te levar, yeah! Te levar daqui Vou te levar, yeah! Te levar daqui Mantenho a história de luz de glória Mas só deixa eu te contar o que eu passei por lá Mas eu ainda fico impressionado com as coisas da cidade Aqueles mano se foram, chegaram antes, se foram Pra onde foram ninguem sabe ninguem faz Anos e anos da correria faz leva e traz Anos e anos da correria faz leva e traz, yeah Vou te levar yeah Te levar daqui Vou te levar ieh te levar daqui Resolvi pensar em nós Vou te levar daqui Vou te levar yeah Te levar daqui Vou te levar yeah Te levar daqui"
Todos Iguais (4:03),Charlie Brown Jr,,,"Foda-se se eles se acharem educados demais pra mim! Eu digo foda-se se eles se acharem elitizados demais pra mim! Eu digo foda-se se eles se acharem inteligentes demais pra mim! Eu digo foda-se se eles se acharem bons demais pra mim! Eles são todos iguais!! Eles são todos iguais!! Meu estilo de vida liberta minha mente Completamente louco, mas um louco consciente Eu vivo a vida, é assim que se faz! Um passo além leva sempre a algo mais!"
Too Fast Live Too Young Too Die,Charlie Brown Jr,Imunidade Musical,2005,Instrumental
Transar No Escuro,Charlie Brown Jr,Nadando com os Tubarões,2000,"O bom é ver o que se faz, mas Ela gosta de transar no escuro No escuro a coisa ferve mais, mas O dom é ver o que se faz Passou por mim Fez que não me viu, mas Deixou prá mim Um pouco mais daquele andar Eu sei, sigo à vontade então Eu fico à vontade então Me deixa à vontade então Que eu te deixo à vontade então"
Tributo 171,Charlie Brown Jr,,,"O MANO FOI EMBORA ELE SUMIU MANDOU SUA FAMILIA PRA PUTA QUE PARIU, FALOU MUITA BESTEIRA FOLGOU FOI ABUSADO E EU ESTOU LIGADO QUE ELE ESTAVA DROGADO, AGIU DE FORMA ERRADA AGIU DE FORMA BRUTA XINGOU ATE A MAE, E DAÍ O FILHA DA PUTA FUGIU DA ÁREA NEM PAGOU O MEU DINHEIRO TOMA VERGONHA NESTA CARA CALOTEIRO TA QUENTE QUE ABAFA QUE ESTA FAMOSO SEU SONHO E SER DOUTOR OU SENAO UM MAFIOSO COM CARRO,DINHEIRO,REVOLVER,MULHER E PO SEM MISERIA SENDO O MANO OUTRO DIA FOI PRO SACO ELE ACHOU ENGRAÇADO ELE TIROU UM BARATO ELE RI ELE TIRA TODO MUNDO DE CUSAO FALOU VACILAO ELE PASSOU AQUI NA AREA OUTRO DIA VEJA EM UM ESCORTE CONVERSIVEL PRATEADO COM UMA VAGABUNDA DO LADO A MINA ME TIRANDO O OLHO FEIO SORRIU MANDA ESTA VACA PRA PUTA QUE PARIU"
Tributo Ao Frango da Malásia,Charlie Brown Jr,Transpiração Continua Prolongada,1997,"A banda Charliie Brown Jr. orgulhosamente apresenta o canto do pré-histórico, o endividado, o extinto: O último frango da malásia."
Trocando Uma Idéia Com Deus,Charlie Brown Jr,Nadando com os Tubarões,2000,instrumental
Tu Vai de Limosine E Eu Vou de Trem,Charlie Brown Jr,,,"Você me diz que eu sou desajeitado Eu não sou ninguém Me tira o sono só pra se sentir bem Desajeitado, eu não sou ninguém Me tira o sono só pra se sentir bem Desajeitado, eu não sou ninguém Me tira o sono só pra se sentir bem Desajeitado, eu não sou ninguém Me tira o sono só pra se sentir bem O mundo dá várias voltas! Tomara que um dia ele leve meu caminho a você Não tenho grana não Mas quando tu chegar já vou estar lá tu vai me ver Desajeitado, eu não sou ninguém Me tira o sono só pra se sentir bem Desajeitado, eu não sou ninguém Me tira o sono só pra se sentir bem O mundo dá várias voltas! Tomara que um dia ele leve meu caminho a você Não tenho grana não Mas quando tu chegar já vou estar lá tu vai me ver Sei que um sorriso seu faria bem Tu vai de limosine e eu vou de trem Sei que um sorriso seu faria bem Tu vai de limosine e eu vou de trem Mas se eu sou um em um milhão O que fazer então? Não tenho grana, tenho um grande coração Não quero ver, quero botar na mão Pode acreditar tu vai comer na minha mão Sei que um sorriso seu faria bem Tu vai de limosine e eu vou de trem Sei que um sorriso seu faria bem Tu vai de limosine e eu vou de trem"
Tudo Igual,Charlie Brown Jr,,,"Tudo igual, mas sempre diferente no final, errar e acertar não tem diferença acaba sendo tudo igual por isso seja e aconteça independente da certeza e da pureza falsa do sistema que repele a atitude de verdade, deixando todos com medo de arriscar  quero vê você com cara de cuzão pagando pau pra tudo sem poder se libertar esse preço tu pagou quando parou de brigar só mesmo os pôrra loca é que sabem se safá"
Tudo Mudar,Charlie Brown Jr,Nadando com os Tubarões,2000,"Quando eu vi você quase não acreditei Nem vi você mudar, nem vi você crescer, mas Nunca te imaginei assim... Quando me aproximei mal sabia o que falar Nem vi você mudar, nem vi você crescer, mas Nunca te imaginei assim... Como pode tudo mudar? Em um segundo, nem pensar Não vou voltar atrás, agora é assim que vai ser Difícil acreditar que depois de tanto tempo Eu iria me ligar em você, mal posso acreditar Quando me aproximei mal sabia o que falar Nem vi você mudar, nem vi você crescer, mas Nunca te imaginei assim... Como pode tudo mudar? Em um segundo, nem pensar Não vou voltar atrás, agora é assim que vai ser Tudo Mudar... (4x) Estive pensando em me mudar Sem te deixar pra trás Resolvi pensar em nós Vou te levar daqui... Tudo Mudar... (4x) Como pode tudo mudar? Em um segundo, nem pensar Não vou voltar atrás, agora é assim que vai ser..."
Tudo Pro Alto,Charlie Brown Jr,Acústico MTV - Charlie Brown Jr.,2003,"Jogar tudo pro alto me convém Estar acima da razão Só porque somos jovens, só porque somos jovens Desesperado com o mundo estou também Escondem tudo com sorriso na Tv e não contam a ninguém Estou confuso joguei tudo pra trás Mas no fundo eu sei que eu não tentei de tudo Mas que bom poder ter uma chance a mais Estou confuso joguei tudo pra trás Mas no fundo eu sei que não tentei de tudo Mas que bom poder ter uma chance a mais Tratado de forma que não deu pra entender tanta frieza Disposição de sobra, eu vou vencer assim mesmo Já nem lembro de você Então é o vício o que te faz correr atrás De mais que o início E Bem que eu te avisei aquela vez que eu te encontrei A vida corre pelas ruas numa busca sem sentido Enquanto o mundo vive em guerra por paz Não me pergunte o que eu quero da vida O que eu quero da vida? Eu tenho sede demais A vida flui nessa loucura e o momento é decisivo Mas agora estou confuso demais Não me pergunte o que eu quero da vida O que eu quero da vida, eu tenho sede demais Mas deixe eu só te dizer o quanto eu quero bem você..."
Tudo Que Ela Gosta de Escutar,Charlie Brown Jr,Música Popular Caiçara - Ao Vivo,2012,"Essa é uma história de amargar Conheci uma garota meu irmão vou lhe falar Tudo que ela quer, o pai dela dá Desde casa em ubatuba, até apê no guarujá Fim de festa olho pra ela, ela sorri pra mim Me secou a noite inteira Ela só pode estar afim Ela tem carro importado e telefone celular Eu só tenho uma magrela e um apê no bnh Eu falo tudo que ela gosta de escutar Deve ser por isso que ela vem me procurar. Eu falo, eu falo tudo que ela gosta de escutar Deve ser por isso que ela vem me procurar O pai dela riu de mim porque o meu carro é popular E ainda me deu uma notícia de desanimar ""rapaz você não é bom pra minha filha não, Quem é teu pai? quem é você? o que que você faz? vou investigar você"" Fim de festa olho pra ela, ela sorri pra mim Me secou a noite inteira Ela só pode estar afim Ela tem carro importado e telefone celular Eu só tenho uma magrela e um apê no bnh Eu falo tudo que ela gosta de escutar Deve ser por isso que ela vem me procurar Eu falo, eu falo tudo que ela gosta de escutar Deve ser por isso que ela vem me procurar Eu falo tudo que ela gosta de escutar Deve ser por isso que ela vem me procurar Eu falo, eu falo tudo que ela gosta de escutar Deve ser por isso que ela vem me procurar"
Um Dia a Gente Se Encontra,Charlie Brown Jr,La Familia 013,2013,"Um dia na praia a gente jurou Ficar junto pra sempre depois tudo mudou Eram portas abertas que depois se fecharam O tempo passou e as coisas mudaram Separaram a gente As circunstâncias e as coisas As circunstâncias e as coisas Então vamos viver E um dia a gente se encontra Então vamos viver E um dia a gente se encontra Então vamos viver E um dia a gente se encontra Então vamos viver E um dia a gente se encontra As ruas desertas, conflitos internos Vivendo um sonho que não é só meu Saudade de casa que grande ironia Meu tempo agora não é mais só meu E você não entende A ação do tempo e as coisas As circunstâncias e as coisas Então vamos viver E um dia a gente se encontra Então vamos viver E um dia a gente se encontra Então vamos viver E um dia a gente se encontra Então vamos viver E um dia a gente se encontra A liberdade é essencial pra mim Felicidade é essencial pra mim Se quem eu amo tem amor por mim Eu sei que ainda estamos longe do fim"
Uma Criança Com Seu Olhar,Charlie Brown Jr,"Ritmo, Ritual e Responsa",2007,"Aqui estou na difícil missão de levar a você Uma mensagem que possa ser Como uma luz ou um mantra, nós não somos mais crianças Um dia acontece, a gente tem que crescer Temos que encarar a responsa Eu não deixei de achar graça nas coisas Simplesmente hoje eu quero ser levado a sério As coisas mudam sempre mas a vida não é só como eu espero Existe um dom natural que todos temos Nossas escolhas vão dizer pra onde iremos Mas se for pra falar de algo bom Eu sempre vou lembrar de você Difícil não lembrar do que nunca se esqueceu Fácil perceber que seu amor é meu Difícil não lembrar do que nunca se esqueceu Fácil perceber que meu amor é seu Eu quero estar amanhã ao seu lado quando você acordar Eu quero estar amanhã sossegado e continuar a te amar Eu quero um sonho realizado, uma criança com seu olhar Eu quero estar sempre ao seu lado, você me traz paz Aqui estou na difícil missão de levar a você Uma mensagem que possa ser Como uma luz ou um mantra, nós não somos mais crianças Um dia acontece, a gente tem que crescer Temos que encarar a responsa Eu não deixei de achar graça nas coisas Simplesmente hoje eu quero ser levado a sério As coisas mudam sempre mas a vida não é só como eu espero Eu quero estar amanhã ao seu lado quando você acordar Eu quero estar amanhã sossegado e continuar a te amar Eu quero um sonho realizado, uma criança com seu olhar Eu quero estar sempre ao seu lado, você me traz paz Armadilhas do tempo são como o vento Levando as folhas para lugares distantes, O meu pensamento é o mesmo que o seu Mas hoje meu coração bate mais forte que antes Certa vez na história, Eu vim de muito longe só pra ver você, Fui pra muito longe pra encontrar você, Eu te entreguei minha alma."
"Uma Só Vida Pra Viver, Tenho Sede Nela Eu Vou",Charlie Brown Jr,Camisa 10 Joga Bola Até na Chuva,2009,"Uma só vida pra viver Tenho sede, nela eu vou Uma só vida pra viver Ela passa na caranga ouvindo o som da minha banda Com o olhar de veneno e não é mais criança Ela é muito gostosa e usa roupa colada Completamente pronta, ela é a melhor da parada O doce dela é bala e ela vai na rave Eu vou colar com ela, ela me deixa crazy Style pimp, eu sou Ela é gata, eu vou Mulher bonita e vagabundo sempre combinou Eu só quero um fim de tarde, um lugar só meu e ela pra curtir Eu só quero um fim de tarde, um lugar só meu e ela pra curtir Eu só quero um fim de tarde, um lugar só meu e ela pra curtir Eu só quero um fim de tarde E é com você que eu vou Quero curtir com você um pouco mais Com você que eu vou A gente junto se diverte muito mais Com você que eu vou O nosso instinto fala por nós Com você que eu vou A gente junto se diverte muito mais Uma só vida pra viver Eu tenho sede, nela eu vou Você está aqui e eu também estou Uma só vida pra viver Eu tenho sede, nela eu vou Você está aqui e eu também estou Mas ela vem no style pra alegrar meu baile Não conhece, não fale Tira o zóio Está com quem sabe lidar Mulher sabe o que quer Tá ligado, rapaz? Então tem que chegar chegando Tratar bem e ligar Ser pontual, atencioso e bom ouvinte Presentinho, lingerie, champanhe - um brinde Style pimp, eu sou Ela é gata, eu vou Mulher bonita e vagabundo sempre combinou Eu só quero um fim de tarde, um lugar só meu e ela pra curtir Eu só quero um fim de tarde, um lugar só meu e ela pra curtir Eu só quero um fim de tarde, um lugar só meu e ela pra curtir Eu só quero um fim de tarde E é com você que eu vou Quero curtir com você um pouco mais Com você que eu vou A gente junto se diverte muito mais Com você que eu vou O nosso instinto fala por nós Com você que eu vou A gente junto se diverte muito mais Uma só vida pra viver Eu tenho sede, nela eu vou Você está aqui e eu também estou Uma só vida pra viver Eu tenho sede, nela eu vou Você está aqui e eu também estou Brisa O sol se vai lentamente Aprenda com a vida E com toda essa gente E é com você que eu vou É com você que eu vou Quero curtir com você um pouco mais Com você que eu vou O nosso instinto fala por nós Com você que eu vou A gente junto se diverte muito mais Uma só vida pra viver Eu tenho sede, nela eu vou Você está aqui e eu também estou Uma só vida pra viver Eu tenho sede, nela eu vou Você está aqui e eu também estou"
União,Charlie Brown Jr,,,"Dia 9 de abril de 1999 Charlie Brown Jr. disco dois União Paz Do lado leste da periferia de São Paulo drr São Matheus prá vida HC CH DMC Homems crânio Charlie Brown Jr. Rajja de Santos Diretamente prá vocês Entrei em cena qual é o problema do hip hop, do reggae, do hard, do rock, não tem stop passando a mensagem pros manos nada de engano só proceder a nossa firma é forte e você pode crer sou anti paga pau meu dilema nacional me apresento sou Rajja da família Charlie Brown Eles não entendem não vão descobrir Dominado pela má vontade Tire esse cara de perto de mim Não compare o que tu faz não peça prá ninguem ninguem vai consumir Não se queixe da falta do peixe Não deixe o mar te engolir yeah Eles não entendem não vão descobrir Dominado pela má vontade Tire esse cara de perto de mim Não compare o que tu faz não peça prá ninguem ninguem vai consumir Não se queixe da falta do peixe Não deixe o mar te engolir yeah É HC que chega assim que chega pra manter a letra a letra é A banca é classe A, aqui quem fala é HC HC HC HC HC revolucionário a letra fica pra você não perde o crime o crime é o crime crime é organizado do lado leste HC revolucionário contra a burguesia que nos aponta como marginal homens criminal mentes criminal lavagem cerebral morte cerebral sistema central cerebral é trilha sonora do gueto de leste oeste norte sul o negro D menos crime, sou sobrevivência olha a carência por aqui, por alí, só sangue que se vê resumo da periferia quem não acredita confira quem não acredita confira para ver para ver por aqui, por alí, só sangue que se vê resulta a periferia quem não acredita confira quem não acredita confira para ver para ver Tem Flagrante? não, não tem flagrante não já bolou acendeu virou fumaça subiu prá cuca fim do silêncio Não deixa agora Malandro que é malandro sempre segue o ritmo da favela e daí como é que é Ha Ha Ha fogo na bomba bebida, química, nada disso ameniza prefiro ficar na brisa sem desarrumar 1, 2, passa a bola ladrão quer fumar 1, 2, sem marcar, rapaziada firmeza pega o seu e fica a pampa sem armas sem drogas"
